_id,address,dir,end_date,flash_speed,geometry,min_speed,schedule,sign_id,sign_name,speed_limit,start_date,strobe_speed,ward_no
107,400 Rockcliffe Boulevard,SB,,31,"{u'type': u'Point', u'coordinates': (-79.488743, 43.675147)}",20,Weekdays from 7 AM - 9 PM,596,Rockcliffe Blvd SB ,30,2018-01-19T15:00:00,36.0,5
108,26 Seneca Avenue,EB,2018-03-03T08:00:00,41,"{u'type': u'Point', u'coordinates': (-79.477451, 43.680184)}",30,Weekdays from 7 AM - 9 PM,601,Avon Ave EB ,40,2017-12-13T16:00:00,46.0,5
109,958 Jane Street,NB,,51,"{u'type': u'Point', u'coordinates': (-79.497292, 43.680276)}",30,Weekdays from 7 AM - 9 PM,618,Jane St NB ,50,2019-03-20T06:00:00,56.0,5
110,303 Rockcliffe Boulevard,NB,2019-10-11T14:00:00,41,"{u'type': u'Point', u'coordinates': (-79.487927, 43.673787)}",30,Weekdays from 7 AM - 9 PM,638,Rockcliffe Blvd NB ,40,2018-01-19T14:00:00,46.0,5
111,38 Comay Road,SB,,31,"{u'type': u'Point', u'coordinates': (-79.478846, 43.697953)}",20,Weekdays from 7 AM - 9 PM,728,Comay Rd SB ,30,2019-03-20T07:00:00,36.0,5
112,1 Ralph Street,SB,,31,"{u'type': u'Point', u'coordinates': (-79.512855, 43.701977)}",20,Weekdays from 7 AM - 9 PM,803,Ralph St SB ,30,2019-11-18T11:00:00,36.0,5
113,36 George Street,SB,,41,"{u'type': u'Point', u'coordinates': (-79.520766, 43.702989)}",5,Weekdays from 7 AM - 9 PM,871,George St SB ,40,2019-12-09T11:00:00,46.0,5
114,150 Sharpecroft Boulevard,SB,,41,"{u'type': u'Point', u'coordinates': (-79.489756, 43.750103)}",30,Weekdays from 7 AM - 9 PM,91,Sharpecroft Blvd SB ,40,2019-03-11T08:00:00,46.0,6
115,345 Wilmington Avenue,NB,,41,"{u'type': u'Point', u'coordinates': (-79.460103, 43.768824)}",30,Weekdays from 7 AM - 9 PM,274,Wilmington Ave NB ,40,2018-01-16T15:00:00,46.0,6
116,2813 Keele Street,NB,,61,"{u'type': u'Point', u'coordinates': (-79.482622, 43.729739)}",30,Weekdays from 7 AM - 9 PM,282,Keele St NB ,60,2019-03-20T06:00:00,66.0,6
117,25 Gade Drive,EB,,41,"{u'type': u'Point', u'coordinates': (-79.490174, 43.728303)}",30,Weekdays from 7 AM - 9 PM,352,Gade Dr EB ,40,2018-10-18T08:00:00,46.0,6
118,285 Wilmington Avenue,NB,,41,"{u'type': u'Point', u'coordinates': (-79.459095, 43.766502)}",30,Weekdays from 7 AM - 9 PM,463,Wilmington Ave NB ,40,2018-01-16T15:00:00,46.0,6
119,2 Renoak Drive,WB,,31,"{u'type': u'Point', u'coordinates': (-79.450126, 43.78567)}",20,Weekdays from 7 AM - 9 PM,542,Rockford Rd WB ,30,2019-03-11T08:00:00,36.0,6
120,330 Wilmington Avenue,SB,,41,"{u'type': u'Point', u'coordinates': (-79.460165, 43.768567)}",30,Weekdays from 7 AM - 9 PM,555,Wilmington Ave SB ,40,2018-01-16T15:00:00,46.0,6
121,86 Faywood Boulevard,NB,,41,"{u'type': u'Point', u'coordinates': (-79.447478, 43.739531)}",30,Weekdays from 7 AM - 9 PM,590,Faywood Blvd NB ,40,2019-03-07T09:00:00,46.0,6
122,2860 Keele Street,SB,,61,"{u'type': u'Point', u'coordinates': (-79.48343, 43.732043)}",30,Weekdays from 7 AM - 9 PM,665,Keele St SB ,60,2019-03-20T07:00:00,66.0,6
123,64 Bainbridge Avenue,EB,,41,"{u'type': u'Point', u'coordinates': (-79.443133, 43.749605)}",30,Weekdays from 7 AM - 9 PM,687,Bainbridge Ave EB ,40,2019-03-20T08:00:00,46.0,6
124,118 Faywood Boulevard,SB,,41,"{u'type': u'Point', u'coordinates': (-79.447988, 43.741241)}",30,Weekdays from 7 AM - 9 PM,730,Faywood Blvd SB ,40,2019-03-07T09:00:00,46.0,6
125,71 Buckland Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.502933, 43.740208)}",5,Weekdays from 7 AM - 9 PM,889,Buckland Rd NB ,40,2019-12-19T11:00:00,46.0,6
126,1878 Sheppard Avenue West,EB,,51,"{u'type': u'Point', u'coordinates': (-79.504987, 43.74066)}",30,Weekdays from 7 AM - 9 PM,890,Sheppard Ave W EB ,50,2019-12-19T10:00:00,56.0,6
